222|4
223|5
224|4
225|4
228|5
229|5
230|5
231|4
232|3
234|5
237|5
241|4
242|5
243|5
246|2
249|5
250|4
251|2
252|3
253|2
254|5
257|5
258|5
259|5
260|5
262|2
263|3
265|5
266|4
269|5
270|4
271|2
273|3
274|3
275|5
276|2
278|2
279|2
281|2
282|2
292|2
293|2
296|3
297|5
301|5
305|4
307|5
308|5
310|3
311|5
314|3
319|3
320|5
323|2
324|5
330|3
331|5
332|5
334|5
336|3
337|2
339|5
340|5
341|3
524|4
525|5
526|2
527|3
529|2
530|5
532|2
533|5
534|5
536|2
538|5
539|5
541|3
542|2
543|5
544|2
545|3
546|3
547|2
548|3
549|5
550|4
562|3
568|5
570|3
575|5
